Date,Open,High,Low,Close,Adj Close,Volume
2019-09-10,147.000000,147.500000,142.979996,146.899994,146.899994,1885600
2019-09-11,147.229996,152.800003,147.009995,151.809998,151.809998,1869500
2019-09-12,151.600006,154.410004,149.139999,152.960007,152.960007,1520100
2019-09-13,155.289993,156.929993,153.576996,155.979996,155.979996,1810300
2019-09-16,155.839996,159.850006,154.550003,158.970001,158.970001,1766800
2019-09-17,160.000000,161.490005,158.899994,160.309998,160.309998,1558800
2019-09-18,160.009995,160.490005,149.000000,153.990005,153.990005,3033300
2019-09-19,156.839996,157.100006,152.500000,154.919998,154.919998,1570900
2019-09-20,154.970001,156.559998,153.440002,155.259995,155.259995,1293800
2019-09-23,152.660004,154.270004,146.289993,148.220001,148.220001,2396600
2019-09-24,146.740005,147.000000,139.070007,142.990005,142.990005,2316900
2019-09-25,139.300003,142.899994,133.080002,138.320007,138.320007,2531600
2019-09-26,160.509995,160.600006,148.600006,154.339996,154.339996,8074700
2019-09-27,151.000000,153.809998,148.899994,151.660004,151.660004,1989400
2019-09-30,150.690002,151.000000,145.679993,148.619995,148.619995,1667100
2019-10-01,148.649994,149.399994,143.699997,146.419998,146.419998,1491200
2019-10-02,144.960007,145.250000,141.100006,143.300003,143.300003,1542300
2019-10-03,142.059998,146.925003,141.320007,145.440002,145.440002,1160600
2019-10-04,146.059998,147.169998,144.270004,145.720001,145.720001,1373500
2019-10-07,144.500000,145.169998,142.029999,145.059998,145.059998,1319900
2019-10-08,143.000000,143.940002,140.179993,142.729996,142.729996,1123400
2019-10-09,143.259995,143.701996,137.559998,139.350006,139.350006,1477600
2019-10-10,138.500000,138.949997,134.910004,136.000000,136.000000,1735600
2019-10-11,136.009995,136.850006,130.639999,131.389999,131.389999,2441000
2019-10-14,128.449997,128.460007,124.629997,126.309998,126.309998,2126900
2019-10-15,124.269997,125.400002,120.529999,122.050003,122.050003,2635900
2019-10-16,122.000000,126.489998,121.777000,123.919998,123.919998,1961900
2019-10-17,123.989998,124.580002,116.860001,117.349998,117.349998,2838700
2019-10-18,115.000000,115.389999,107.910004,109.989998,109.989998,3818800
2019-10-21,113.599998,113.609001,106.010002,110.129997,110.129997,3585700
